date,clone,tool,delta_bytes,tool_bytes_after,surface_bytes_after,sha
2026-09-11,win,modoki_add_native_target,0,691,153258,a3bd31ba8
2026-09-11,win,modoki_anim_add_key,0,992,153258,a3bd31ba8
2026-09-11,win,modoki_anim_set_clip,0,731,153258,a3bd31ba8
2026-09-11,win,modoki_asset_schema,0,415,153258,a3bd31ba8
2026-09-11,win,modoki_batch,0,2526,153258,a3bd31ba8
2026-09-11,win,modoki_build,0,1416,153258,a3bd31ba8
2026-09-11,win,modoki_capture_gesture,0,941,153258,a3bd31ba8
2026-09-11,win,modoki_capture_viewport,0,2250,153258,a3bd31ba8
2026-09-11,win,modoki_create_asset,0,580,153258,a3bd31ba8
2026-09-11,win,modoki_create_entity,0,1290,153258,a3bd31ba8
2026-09-11,win,modoki_create_folder,0,391,153258,a3bd31ba8
2026-09-11,win,modoki_create_registered_asset,0,1513,153258,a3bd31ba8
2026-09-11,win,modoki_delete_asset,0,2449,153258,a3bd31ba8
2026-09-11,win,modoki_delete_entities,0,525,153258,a3bd31ba8
2026-09-11,win,modoki_diagnose,0,1496,153258,a3bd31ba8
2026-09-11,win,modoki_discard_asset_edits,0,1425,153258,a3bd31ba8
2026-09-11,win,modoki_dispatch_action,0,696,153258,a3bd31ba8
2026-09-11,win,modoki_dnd,0,1575,153258,a3bd31ba8
2026-09-11,win,modoki_drag,0,6078,153258,a3bd31ba8
2026-09-11,win,modoki_drag_handle,0,1998,153258,a3bd31ba8
2026-09-11,win,modoki_duplicate_asset,0,1305,153258,a3bd31ba8
2026-09-11,win,modoki_duplicate_entity,0,989,153258,a3bd31ba8
2026-09-11,win,modoki_editor_journal,0,4578,153258,a3bd31ba8
2026-09-11,win,modoki_eval,0,1292,153258,a3bd31ba8
2026-09-11,win,modoki_eval_api,0,574,153258,a3bd31ba8
2026-09-11,win,modoki_exit_pose_envelope,0,1066,153258,a3bd31ba8
2026-09-11,win,modoki_find_references,0,1270,153258,a3bd31ba8
2026-09-11,win,modoki_focus,0,2127,153258,a3bd31ba8
2026-09-11,win,modoki_focus_entity,0,996,153258,a3bd31ba8
2026-09-11,win,modoki_game_view_devices,0,750,153258,a3bd31ba8
2026-09-11,win,modoki_get_asset_meta,0,1154,153258,a3bd31ba8
2026-09-11,win,modoki_get_console_logs,0,1100,153258,a3bd31ba8
2026-09-11,win,modoki_get_editor_state,0,2260,153258,a3bd31ba8
2026-09-11,win,modoki_get_layout_bounds,0,2006,153258,a3bd31ba8
2026-09-11,win,modoki_get_scene_state,0,3440,153258,a3bd31ba8
2026-09-11,win,modoki_handles,0,2517,153258,a3bd31ba8
2026-09-11,win,modoki_history,0,772,153258,a3bd31ba8
2026-09-11,win,modoki_hit_regions,0,2506,153258,a3bd31ba8
2026-09-11,win,modoki_hover,0,2627,153258,a3bd31ba8
2026-09-11,win,modoki_identity,0,845,153258,a3bd31ba8
2026-09-11,win,modoki_import_file,0,800,153258,a3bd31ba8
2026-09-11,win,modoki_input_watch,0,2042,153258,a3bd31ba8
